system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.563869,1095,0.0005021,0.0004393,-0.0785128,-0.0000606,-0.0000606,-0.0000606
2023-01-30 17:45:07.571993,1103,0.0005021,0.0005648,-0.0784500,0.0000000,-0.0001212,-0.0001212
2023-01-30 17:45:07.579849,1111,0.0005648,0.0005962,-0.0784500,0.0000606,-0.0001212,0.0000000
2023-01-30 17:45:07.587914,1119,0.0005021,0.0004707,-0.0784500,0.0001212,-0.0001212,0.0000606
2023-01-30 17:45:07.595924,1127,0.0003766,0.0004707,-0.0784814,0.0002424,-0.0001818,0.0000000
2023-01-30 17:45:07.603839,1135,0.0004079,0.0004393,-0.0784186,0.0000606,-0.0001818,0.0000000
2023-01-30 17:45:07.611891,1143,0.0004707,0.0003766,-0.0784500,0.0001818,-0.0001818,0.0001212
2023-01-30 17:45:07.619988,1151,0.0004707,0.0002510,-0.0784186,0.0001212,-0.0001212,0.0000000
2023-01-30 17:45:07.627920,1159,0.0004393,0.0002824,-0.0784186,0.0001212,0.0000000,0.0000606
2023-01-30 17:45:07.635953,1167,0.0004393,0.0002510,-0.0783872,0.0000000,-0.0000606,0.0000606
2023-01-30 17:45:07.643934,1175,0.0004079,0.0003766,-0.0784500,-0.0001212,-0.0000606,-0.0000606
2023-01-30 17:45:07.652019,1183,0.0004393,0.0004393,-0.0784814,0.0000606,0.0000000,0.0000000
2023-01-30 17:45:07.659821,1191,0.0004393,0.0006276,-0.0784186,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:07.667970,1199,0.0004393,0.0006590,-0.0783872,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:07.675866,1207,0.0005335,0.0005648,-0.0784500,0.0002424,0.0000000,0.0000000
2023-01-30 17:45:07.683730,1215,0.0005021,0.0004707,-0.0784500,0.0001818,0.0000606,0.0000000
2023-01-30 17:45:07.691879,1223,0.0004707,0.0004079,-0.0785128,0.0000606,0.0000000,0.0000606
2023-01-30 17:45:07.699920,1231,0.0005335,0.0004079,-0.0785128,0.0001212,0.0000000,0.0001818
2023-01-30 17:45:07.707919,1239,0.0005335,0.0003138,-0.0784186,0.0000000,0.0000000,0.0000000
2023-01-30 17:45:07.715664,1247,0.0005648,0.0002824,-0.0784500,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.723821,1255,0.0004707,0.0002824,-0.0783559,0.0000000,-0.0000606,0.0000000
2023-01-30 17:45:07.731822,1263,0.0005335,0.0003452,-0.0785128,0.0001212,-0.0001212,-0.0001212
2023-01-30 17:45:07.739925,1271,0.0005335,0.0004707,-0.0784814,0.0000606,-0.0001818,0.0000000
2023-01-30 17:45:07.747811,1279,0.0005335,0.0005021,-0.0785128,0.0000000,-0.0001818,0.0000606
2023-01-30 17:45:07.755793,1287,0.0004079,0.0005335,-0.0784500,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:07.763890,1295,0.0003766,0.0005962,-0.0784186,0.0001818,-0.0001818,0.0001212
2023-01-30 17:45:07.771877,1303,0.0003452,0.0005021,-0.0784186,0.0000000,-0.0002424,-0.0000606
2023-01-30 17:45:07.779884,1311,0.0004393,0.0004393,-0.0783245,0.0002424,-0.0000606,0.0000000
2023-01-30 17:45:07.787843,1319,0.0003452,0.0002824,-0.0783872,0.0000606,0.0000606,0.0000000
